Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [okbooks],Price [okbooks],In stock [okbooks],Low stock [okbooks]
ช่อ-ดอกไม้-350-บาท,11719,ช่อ ดอกไม้ 350 บาท,ดอกไม้ + ปัจฉิม,<p>ดอกกุหลาบ กำมะหยี่ &nbsp;6 ดอก ดอกธรรมดา 2 ช่อ ดอกแซม 1 ช่อ ใบไม้รองหลัง 1 ช่อ&nbsp; กระดาษ 3 แผ่น โบใหญ่&nbsp; เสริมโฟม</p>,N,,,,,,,0.00,,,,N,Y,350.00,,
ช่อ-ดอกไม้-399-บาท,11720,ช่อ ดอกไม้ 399 บาท,ดอกไม้ + ปัจฉิม,,N,,,,,,,0.00,,,,N,Y,399.00,,
ช่อ-ดอกไม้-450-บาท,11721,ช่อ ดอกไม้ 450 บาท,ดอกไม้ + ปัจฉิม,,N,,,,,,,0.00,,,,N,Y,450.00,,
ช่อ-ดอกไม้-499-บาท,11722,ช่อ ดอกไม้ 499 บาท,ดอกไม้ + ปัจฉิม,,N,,,,,,,0.00,,,,N,Y,499.00,,
ช่อ-ดอกไม้เปล่า-100-บาท,11730,ช่อ ดอกไม้เปล่า 100 บาท,เบ็ดเตล็ด,,N,,,,,,,0.00,,,,N,Y,100.00,,
ช้อน-จีนเล็ก-แสตนเลส-430,12884,ช้อน จีนเล็ก แสตนเลส 430,เบ็ดเตล็ด,,N,,,,,,,0.00,,,,N,Y,25.00,,
ช้อน-จีนเล็ก-แสตนเลส-430-1-โหล,12883,ช้อน จีนเล็ก แสตนเลส 430 1 โหล,เบ็ดเตล็ด,,N,,,,,,,0.00,,,,N,Y,250.00,,
ช้อน-จีนเล็ก-แสตนเลส-430-2-โหล,12882,ช้อน จีนเล็ก แสตนเลส 430 2 โหล,เบ็ดเตล็ด,,N,,,,,,,0.00,,,,N,Y,500.00,,
ช้อน-สั้น-แสตนเลส,12886,ช้อน สั้น แสตนเลส,เบ็ดเตล็ด,,N,,,,,,,0.00,,,,N,Y,25.00,,
ช้อน-สั้น-แสตนเลส-1-โหล,12885,ช้อน สั้น แสตนเลส 1 โหล,เบ็ดเตล็ด,,N,,,,,,,0.00,,,,N,Y,250.00,,
